Index,Timestamp,Spot,Put Strike,Put LTP,Put Entry,Call Strike,Call LTP,Call Entry,Sold Premium,Current Premium,PNL
0,09:20:09,22189,22100 PE,16.05,16.0,22250 CE,24.8,23.35,39.35,40.85,-1.5
1,09:20:14,22187,22100 PE,16.15,16.0,22250 CE,26.8,23.35,39.35,42.95,-3.6
2,09:20:18,22194,22100 PE,16.4,16.0,22250 CE,27.05,23.35,39.35,43.45,-4.1
3,09:20:21,22192,22100 PE,16.45,16.0,22250 CE,28.05,23.35,39.35,44.5,-5.15
4,09:20:25,22193,22100 PE,16.3,16.0,22250 CE,28.6,23.35,39.35,44.9,-5.55
5,09:20:29,22191,22100 PE,16.35,16.0,22250 CE,28.5,23.35,39.35,44.85,-5.5
6,09:20:34,22192,22100 PE,16.1,16.0,22250 CE,28.0,23.35,39.35,44.1,-4.75
7,09:20:38,22193,22100 PE,15.95,16.0,22250 CE,27.85,23.35,39.35,43.8,-4.45
8,09:20:42,22194,22100 PE,15.7,16.0,22250 CE,28.15,23.35,39.35,43.85,-4.5
9,09:20:46,22194,22100 PE,15.5,16.0,22250 CE,28.05,23.35,39.35,43.55,-4.2
10,09:20:50,22196,22100 PE,15.4,16.0,22250 CE,28.75,23.35,39.35,44.15,-4.8
11,09:20:54,22197,22100 PE,15.2,16.0,22250 CE,31.8,23.35,39.35,47.0,-7.65
12,09:20:58,22197,22100 PE,15.4,16.0,22250 CE,31.9,23.35,39.35,47.3,-7.95
13,09:21:03,22200,22100 PE,15.15,16.0,22300 CE,16.5,16.25,32.25,31.65,-7.3
14,09:21:07,22201,22100 PE,15.05,16.0,22300 CE,16.8,16.25,32.25,31.85,-7.5
15,09:21:11,22202,22100 PE,15.0,16.0,22300 CE,16.85,16.25,32.25,31.85,-7.5
16,09:21:15,22200,22100 PE,15.5,16.0,22300 CE,16.15,16.25,32.25,31.65,-7.3
17,09:21:19,22197,22100 PE,15.4,16.0,22300 CE,16.2,16.25,32.25,31.6,-7.25
18,09:21:23,22198,22100 PE,15.25,16.0,22300 CE,15.9,16.25,32.25,31.15,-6.8
19,09:21:27,22199,22100 PE,15.2,16.0,22300 CE,15.8,16.25,32.25,31.0,-6.65
20,09:21:31,22196,22100 PE,15.3,16.0,22300 CE,15.45,16.25,32.25,30.75,-6.4
21,09:21:35,22196,22100 PE,15.15,16.0,22300 CE,15.1,16.25,32.25,30.25,-5.9
22,09:21:38,22195,22100 PE,15.15,16.0,22300 CE,15.2,16.25,32.25,30.35,-6.0
23,09:21:42,22198,22100 PE,15.1,16.0,22300 CE,15.8,16.25,32.25,30.9,-6.55
24,09:21:46,22201,22100 PE,14.9,16.0,22300 CE,16.15,16.25,32.25,31.05,-6.7
25,09:21:51,22202,22100 PE,14.75,16.0,22300 CE,16.75,16.25,32.25,31.5,-7.15
26,09:21:55,22199,22100 PE,14.9,16.0,22300 CE,16.85,16.25,32.25,31.75,-7.4
27,09:22:00,22202,22100 PE,14.7,16.0,22300 CE,16.6,16.25,32.25,31.3,-6.95
28,09:22:04,22203,22100 PE,14.1,16.0,22300 CE,17.55,16.25,32.25,31.65,-7.3
29,09:22:10,22206,22100 PE,14.25,16.0,22300 CE,18.15,16.25,32.25,32.4,-8.05
30,09:22:14,22206,22100 PE,14.35,16.0,22300 CE,18.25,16.25,32.25,32.6,-8.25
31,09:22:18,22209,22100 PE,14.1,16.0,22300 CE,18.3,16.25,32.25,32.4,-8.05
32,09:22:21,22210,22100 PE,14.55,16.0,22300 CE,18.6,16.25,32.25,33.15,-8.8
33,09:22:25,22207,22100 PE,14.75,16.0,22300 CE,20.15,16.25,32.25,34.9,-10.55
